Class      | Recall  | Precision | F1 Score | Accuracy
-------------------------------------------------------
Epoch 1
Epoch 8
ABE        | 0.8554 | 0.8555 | 0.8538 | 0.8554
ART        | 0.8554 | 0.8555 | 0.8538 | 0.8554
BAS        | 0.8554 | 0.8555 | 0.8538 | 0.8554
BLA        | 0.8554 | 0.8555 | 0.8538 | 0.8554
EBO        | 0.8554 | 0.8555 | 0.8538 | 0.8554
EOS        | 0.8554 | 0.8555 | 0.8538 | 0.8554
FGC        | 0.8554 | 0.8555 | 0.8538 | 0.8554
HAC        | 0.8554 | 0.8555 | 0.8538 | 0.8554
KSC        | 0.8554 | 0.8555 | 0.8538 | 0.8554
LYI        | 0.8554 | 0.8555 | 0.8538 | 0.8554
LYT        | 0.8554 | 0.8555 | 0.8538 | 0.8554
MMZ        | 0.8554 | 0.8555 | 0.8538 | 0.8554
MON        | 0.8554 | 0.8555 | 0.8538 | 0.8554
MYB        | 0.8554 | 0.8555 | 0.8538 | 0.8554
NGB        | 0.8554 | 0.8555 | 0.8538 | 0.8554
NGS        | 0.8554 | 0.8555 | 0.8538 | 0.8554
NIF        | 0.8554 | 0.8555 | 0.8538 | 0.8554
OTH        | 0.8554 | 0.8555 | 0.8538 | 0.8554
PEB        | 0.8554 | 0.8555 | 0.8538 | 0.8554
PLM        | 0.8554 | 0.8555 | 0.8538 | 0.8554
PMO        | 0.8554 | 0.8555 | 0.8538 | 0.8554

Epoch 9
ABE        | 0.8544 | 0.8516 | 0.8497 | 0.8544
ART        | 0.8544 | 0.8516 | 0.8497 | 0.8544
BAS        | 0.8544 | 0.8516 | 0.8497 | 0.8544
BLA        | 0.8544 | 0.8516 | 0.8497 | 0.8544
EBO        | 0.8544 | 0.8516 | 0.8497 | 0.8544
EOS        | 0.8544 | 0.8516 | 0.8497 | 0.8544
FGC        | 0.8544 | 0.8516 | 0.8497 | 0.8544
HAC        | 0.8544 | 0.8516 | 0.8497 | 0.8544
KSC        | 0.8544 | 0.8516 | 0.8497 | 0.8544
LYI        | 0.8544 | 0.8516 | 0.8497 | 0.8544
LYT        | 0.8544 | 0.8516 | 0.8497 | 0.8544
MMZ        | 0.8544 | 0.8516 | 0.8497 | 0.8544
MON        | 0.8544 | 0.8516 | 0.8497 | 0.8544
MYB        | 0.8544 | 0.8516 | 0.8497 | 0.8544
NGB        | 0.8544 | 0.8516 | 0.8497 | 0.8544
NGS        | 0.8544 | 0.8516 | 0.8497 | 0.8544
NIF        | 0.8544 | 0.8516 | 0.8497 | 0.8544
OTH        | 0.8544 | 0.8516 | 0.8497 | 0.8544
PEB        | 0.8544 | 0.8516 | 0.8497 | 0.8544
PLM        | 0.8544 | 0.8516 | 0.8497 | 0.8544
PMO        | 0.8544 | 0.8516 | 0.8497 | 0.8544

Epoch 10
ABE        | 0.8541 | 0.8581 | 0.8542 | 0.8541
ART        | 0.8541 | 0.8581 | 0.8542 | 0.8541
BAS        | 0.8541 | 0.8581 | 0.8542 | 0.8541
BLA        | 0.8541 | 0.8581 | 0.8542 | 0.8541
EBO        | 0.8541 | 0.8581 | 0.8542 | 0.8541
EOS        | 0.8541 | 0.8581 | 0.8542 | 0.8541
FGC        | 0.8541 | 0.8581 | 0.8542 | 0.8541
